first_name,last_name,price,above_100
William,Garcia,258.1809,True
Barbara,Freeman,141.89053,True
Rebecca,Zimmerman,293.37326,True
Patricia,Velasquez,249.94792,True
Ronnie,Clark,272.90866,True
Timothy,Rose,65.74327,False
Joshua,Ramirez,64.54997,False
Joseph,Dawson,111.017136,True
Robert,Rios,87.31798,False
Karen,Mitchell,277.25116,True
Patrick,Greene,7.259436,False
Matthew,Nelson,295.3147,True
Melissa,Smith,70.04282,False
Amy,Johnson,78.26892,False
Edgar,Ellis,208.6777,True
Olivia,Rivera,104.809494,True
Kelly,Leblanc,40.208496,False
Jennifer,Anderson,17.906334,False
Tammy,Clark,125.06722,True
Jennifer,Marquez,21.636047,False
Cory,Silva,36.24541,False
Mackenzie,Moon,264.92688,True
Larry,Wade,126.30497,True
Diana,Shaffer,37.504063,False
Stephen,Smith,168.18953,True
Kendra,White,265.10855,True
Lindsey,Williamson,280.3954,True
Wanda,Hale,106.0998,True
Jillian,Davies,10.64367,False
Douglas,Thomas,119.03826,True
Jennifer,Davis,153.05266,True
George,Holmes,44.386143,False
Marissa,Webster,105.43782,True
Anna,Boyle,80.475525,False
Paul,Gillespie,174.68158,True
Autumn,Johnston,132.78035,True
Tracey,Norton,118.02253,True
Amy,Flynn,128.67398,True
Melissa,Davis,72.589775,False
Vincent,Mitchell,78.4399,False
Gregory,Martin,144.69157,True
Robert,Coffey,117.320564,True
Melissa,Montgomery,101.48455,True
Krystal,Cunningham,296.53607,True
Scott,Lee,163.48785,True
James,Murray,28.590258,False
Hunter,Stokes,3.5827422,False
Jasmine,Austin,33.90383,False
Grant,Summers,51.780342,False
Sarah,Spencer,271.60236,True
Brianna,Lewis,192.61768,True
Rhonda,Martin,145.64555,True
Dennis,Lawrence,161.35843,True
Michael,Stewart,245.4401,True
William,Wilkins,22.905558,False
Rebecca,Jimenez,142.59074,True
Kathleen,Roman,15.101359,False
Billy,Smith,22.531815,False
Nicole,James,101.91385,True
Allison,Holt,12.79901,False
Amanda,Johnson,19.174612,False
Michael,Spencer,171.89095,True
Brandi,King,30.053667,False
Alexander,King,23.47063,False
Nicole,Sampson,207.63852,True
Savannah,Bell,22.05564,False
Jessica,Harris,103.70311,True
Lauren,Gallagher,266.2156,True
Jack,Townsend,93.277916,False
Jamie,Nguyen,228.99533,True
Ann,Price,266.323,True
Michael,Rodriguez,224.04529,True
Heather,Davidson,219.83379,True
Marie,Green,146.64067,True
Lori,Tapia,147.34229,True
Kayla,Alvarado,127.24104,True
Susan,Crosby,200.3653,True
Nathan,Harris,163.87311,True
Michael,Daniel,4.5822883,False
Ashley,Jones,53.149433,False
John,Wright,91.35593,False
Melissa,Jordan,294.21542,True
Carrie,Jackson,232.6768,True
Rebecca,Anderson,183.17024,True
Paul,Powell,105.11622,True
Shawn,Baxter,81.03528,False
Sarah,Wright,141.01018,True
Kimberly,Romero,235.62408,True
Matthew,Washington,186.50449,True
Kirk,Hayden,148.25018,True
Traci,Kelley,41.562984,False
Isabella,Chen,129.69211,True
Melanie,Salazar,292.8461,True
Stephanie,Lewis,76.43123,False
Christopher,Hensley,249.15565,True
Terry,Vincent,242.9859,True
Jason,Alvarado,95.92027,False
Michelle,Evans,257.2373,True
Dennis,Benitez,87.119804,False
Troy,Garcia,181.40546,True
Albert,Davila,113.21098,True
Candice,Rivera,42.88132,False
Cole,Edwards,244.07793,True
Danielle,Johnson,31.630415,False
Justin,Ramirez,146.3465,True
Elizabeth,Griffith,205.77838,True
Kristin,Clay,260.34747,True
Joseph,White,65.207535,False
Marissa,Holmes,59.4024,False
Michelle,Hamilton,91.62237,False
Christopher,Alvarez,126.02526,True
Craig,Hogan,136.71269,True
Melissa,Castillo,281.1608,True
Maria,Williams,10.212926,False
Vanessa,Thomas,20.580841,False
Gary,Obrien,53.39582,False
Melissa,Holt,252.28185,True
Eric,Valenzuela,176.52776,True
Anthony,Hardy,4.9027257,False
Karen,Johnson,49.410294,False
Richard,Hunt,249.7512,True
Karen,Robertson,1.7109675,False
Adam,Jones,56.93252,False
Jonathan,Fuller,14.719216,False
Jason,Harris,151.43059,True
Danielle,Hill,179.8454,True
Seth,Freeman,224.55263,True
Joseph,Davis,97.09677,False
Sonya,Reyes,209.98553,True
Michael,Castro,243.17863,True
Jonathan,Collins,101.46207,True
Eric,Hayes,279.9733,True
Eric,Moore,77.420586,False
Veronica,Estes,270.82324,True
Timothy,Aguilar,133.11356,True
Taylor,Hunt,138.20421,True
Michael,Clarke,128.95323,True
Cheryl,Morse,275.76126,True
Jose,Page,184.05891,True
Matthew,Kramer,265.39178,True
Regina,Barrera,185.21341,True
Sean,George,53.763042,False
Cody,Hernandez,180.9266,True
Hunter,Smith,175.21815,True
Andrea,Burke,256.30264,True
Elizabeth,Patterson,290.11298,True
Austin,Rhodes,158.11824,True
Maurice,Thompson,224.12654,True
Richard,Martinez,86.96424,False
Brian,Hernandez,42.670254,False
Samantha,Shields,149.89522,True
Joseph,Walker,282.0494,True
Tracy,Hernandez,215.0596,True
Vicki,Fox,41.512505,False
Louis,Campos,277.90625,True
Justin,Scott,208.06601,True
Megan,Vaughn,289.95642,True
Mary,Hughes,15.213739,False
Anita,Fleming,58.247425,False
Alyssa,Melendez,273.65933,True
Joshua,Foster,253.40938,True
Lisa,Smith,203.96114,True
Kathy,Lee,265.4463,True
Bethany,Park,233.68916,True
Joshua,Butler,239.82138,True
Danielle,Potter,204.53854,True
Kenneth,Robinson,152.78407,True
Eric,Pineda,111.04793,True
James,Dorsey,68.90463,False
Michael,Miller,129.60495,True
Danielle,Martinez,45.949387,False
Gary,Young,212.29823,True
Lisa,Decker,275.71588,True
Kayla,Randolph,232.82202,True
Peggy,Thompson,124.46648,True
Alex,Cooper,170.20534,True
Joanne,Wilson,229.61368,True
Maria,Adams,141.71286,True
Julie,Horton,276.58163,True
Jeffrey,Galvan,210.5062,True
Christopher,Johnson,268.63028,True
Jennifer,Arias,59.59468,False
Jocelyn,Bell,84.95455,False
Eric,Brown,133.40073,True
Devon,Wright,29.215769,False
Rodney,Robles,158.98389,True
Kara,Austin,271.46725,True
Jeffrey,Tanner,203.74332,True
Shaun,Nunez,153.19876,True
Daniel,Mccall,143.2715,True
Frank,Owen,233.20154,True
Beth,Johnson,128.79236,True
Joshua,Clark,190.91136,True
Gary,Jones,52.316624,False
Nancy,Brown,115.958405,True
Megan,Roach,18.682394,False
Lucas,Ross,221.12695,True
Jerry,Tucker,29.951992,False
Timothy,Robles,76.08225,False
Christopher,Goodwin,78.12233,False
Philip,Wilson,22.843132,False
Carrie,Davis,295.04813,True
